eco;name;pgn;parent;move_count;id;path;color
C40;Latvian Gambit: Mayet Attack, Morgado Defense;1. e4 e5 2. Nf3 f5 3. Bc4 Nf6;1. e4 e5 2. Nf3 f5 3. Bc4;6;1992;img/1992.webp;#015f4c
B50;Sicilian Defense;1. e4 c5 2. Nf3 d6 3. d4 cxd4;1. e4 c5 2. Nf3 d6 3. d4;6;1295;img/1295.webp;#e16658
D10;Slav Defense;1. d4 d5 2. c4 c6 3. Nc3 dxc4;1. d4 d5 2. c4 c6 3. Nc3;6;2744;img/2744.webp;#89460f
D01;P00;1. d4 d5 2. Nc3 Nf6 3. Bg5 e6;1. d4 d5 2. Nc3 Nf6 3. Bg5;6;5359;img/5359.webp;#d2419c
A04;P00;1. Nf3 c5 2. c4 g6 3. d4 cxd4;1. Nf3 c5 2. c4 g6 3. d4;6;4957;img/4957.webp;#78146f
C33;King's Gambit Accepted: Bishop's Gambit, Kieseritzky Gambit;1. e4 e5 2. f4 exf4 3. Bc4 b5;1. e4 e5 2. f4 exf4 3. Bc4;6;1843;img/1843.webp;#3c190b
C60;Ruy Lopez: Nürnberg Variation;1. e4 e5 2. Nf3 Nc6 3. Bb5 f6;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2394;img/2394.webp;#248e9f
C60;Ruy Lopez: Brentano Gambit;1. e4 e5 2. Nf3 Nc6 3. Bb5 g5;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2386;img/2386.webp;#248e9f
A12;P00;1. c4 Nf6 2. Nf3 g6 3. d4 Bg7;1. c4 Nf6 2. Nf3 g6 3. d4;6;7745;img/7745.webp;#60c7e6
D00;Queen's Pawn Game: Chigorin Variation, Fianchetto Defense;1. d4 g6 2. Nf3 Bg7 3. Nc3 d5;1. d4 g6 2. Nf3 Bg7 3. Nc3;6;2657;img/2657.webp;#ce7cc2
C62;Ruy Lopez: Steinitz Defense;1. e4 e5 2. Nf3 Nc6 3. Bb5 d6;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2405;img/2405.webp;#9ca653
A02;P00;1. f4 e5 2. d4 exd4 3. Nf3 c5;1. f4 e5 2. d4 exd4 3. Nf3;6;3682;img/3682.webp;#c85d27
C33;P00;1. e4 e5 2. f4 exf4 3. Be2 f5;1. e4 e5 2. f4 exf4 3. Be2;6;5681;img/5681.webp;#3c190b
D06;Queen's Gambit Declined: Marshall Defense, Tan Gambit;1. d4 d5 2. c4 Nf6 3. cxd5 c6;1. d4 d5 2. c4 Nf6 3. cxd5;6;2717;img/2717.webp;#dca4bd
A00;P00;1. g3 d5 2. Bg2 e5 3. c4 dxc4;1. g3 d5 2. Bg2 e5 3. c4;6;3517;img/3517.webp;#4ed482
A43;Benoni Defense: Zilbermints-Benoni Gambit, Tamarkin Countergambit;1. d4 c5 2. Nf3 cxd4 3. b4 e5;1. d4 c5 2. Nf3 cxd4 3. b4;6;499;img/499.webp;#3d6414
D06;Queen's Gambit Declined: Austrian Defense, Gusev Countergambit;1. d4 d5 2. c4 c5 3. cxd5 Nf6;1. d4 d5 2. c4 c5 3. cxd5;6;2709;img/2709.webp;#dca4bd
D03;Queen's Pawn Game: Torre Attack, Grünfeld Variation;1. d4 d5 2. Nf3 Nf6 3. Bg5 g6;1. d4 d5 2. Nf3 Nf6 3. Bg5;6;2694;img/2694.webp;#75cf44
B00;Rat Defense: Fuller Gambit;1. e4 d6 2. f4 d5 3. exd5 Nf6;1. e4 d6 2. f4 d5 3. exd5;6;794;img/794.webp;#6fd6ef
B00;Nimzowitsch Defense: Breyer Variation;1. e4 Nc6 2. Nc3 Nf6 3. d4 e5;1. e4 Nc6 2. Nc3 Nf6 3. d4;6;740;img/740.webp;#6fd6ef
C21;P00;1. e4 e5 2. d4 exd4 3. f4 Bc5;1. e4 e5 2. d4 exd4 3. f4;6;5448;img/5448.webp;#0e2e39
C24;P00;1. e4 e5 2. Bc4 Nf6 3. f3 Bc5;1. e4 e5 2. Bc4 Nf6 3. f3;6;5504;img/5504.webp;#131462
B28;P00;1. e4 c5 2. Nf3 a6 3. d4 cxd4;1. e4 c5 2. Nf3 a6 3. d4;6;4904;img/4904.webp;#136d06
C34;King's Gambit Accepted: Becker Defense;1. e4 e5 2. f4 exf4 3. Nf3 h6;1. e4 e5 2. f4 exf4 3. Nf3;6;1867;img/1867.webp;#081525
C23;Bishop's Opening: Anderssen Gambit;1. e4 e5 2. Bc4 b5 3. Bxb5 c6;1. e4 e5 2. Bc4 b5 3. Bxb5;6;1674;img/1674.webp;#870b25
A18;English Opening: Mikenas-Carls Variation;1. c4 Nf6 2. Nc3 e6 3. e4 Nc6;1. c4 Nf6 2. Nc3 e6 3. e4;6;339;img/339.webp;#45c2c8
D64;P00;1. Nf3 d5 2. e3 c5 3. c4 dxc4;1. Nf3 d5 2. e3 c5 3. c4;6;3758;img/3758.webp;#6665c3
C33;King's Gambit Accepted: Bishop's Gambit, Anderssen Defense;1. e4 e5 2. f4 exf4 3. Bc4 g5;1. e4 e5 2. f4 exf4 3. Bc4;6;1824;img/1824.webp;#3c190b
