eco;name;pgn;parent;move_count;id;path_png;path_webp;path_svg;complex;color
A40;P00;1. d4 e6 2. Nf3 f5 3. g3 Nf6 4. Bg2;1. d4 e6 2. Nf3 f5 3. g3 Nf6;7;4054;..shared/img/png/4054.png;..shared/img/webp/4054.webp;..shared/img/svg/4054.svg;P00;#b25097
A53;Old Indian Defense: Janowski Variation, Fianchetto Variation;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. g3;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5;7;587;..shared/img/png/587.png;..shared/img/webp/587.webp;..shared/img/svg/587.svg;Old Indian Defense;#ad4275
A53;Old Indian Defense: Janowski Variation, Main Line;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. f3;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5;7;589;..shared/img/png/589.png;..shared/img/webp/589.webp;..shared/img/svg/589.svg;Old Indian Defense;#ad4275
D06;P00;1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Nf3;1. d4 d5 2. c4 Bf5 3. Nc3 e6;7;6733;..shared/img/png/6733.png;..shared/img/webp/6733.webp;..shared/img/svg/6733.svg;P00;#535fc0
D80;Grünfeld Defense: Stockholm Variation;1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bg5;1. d4 Nf6 2. c4 g6 3. Nc3 d5;7;3058;..shared/img/png/3058.png;..shared/img/webp/3058.webp;..shared/img/svg/3058.svg;Grünfeld Defense;#49354b
A53;Old Indian Defense: Janowski Variation, Grinberg Gambit;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. e4;1. d4 Nf6 2. c4 d6 3. Nc3 Bf5;7;588;..shared/img/png/588.png;..shared/img/webp/588.webp;..shared/img/svg/588.svg;Old Indian Defense;#ad4275
B24;P00;1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2;1. e4 c5 2. Nc3 Nc6 3. g3 g6;7;4889;..shared/img/png/4889.png;..shared/img/webp/4889.webp;..shared/img/svg/4889.svg;P00;#019fc0
A10;P00;1. c4 g6 2. Nc3 Bg7 3. e3 Nf6 4. d4;1. c4 g6 2. Nc3 Bg7 3. e3 Nf6;7;3828;..shared/img/png/3828.png;..shared/img/webp/3828.webp;..shared/img/svg/3828.svg;P00;#47a168
E20;P00;1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3;1. d4 Nf6 2. c4 e6 3. Nc3 Bb4;7;7673;..shared/img/png/7673.png;..shared/img/webp/7673.webp;..shared/img/svg/7673.svg;P00;#655526
D05;Queen's Pawn Game: Colle System;1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3;1. d4 d5 2. Nf3 Nf6 3. e3 e6;7;2699;..shared/img/png/2699.png;..shared/img/webp/2699.webp;..shared/img/svg/2699.svg;Queen's Pawn Game;#fd27a1
D82;Grünfeld Defense: Brinckmann Attack;1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4;1. d4 Nf6 2. c4 g6 3. Nc3 d5;7;3061;..shared/img/png/3061.png;..shared/img/webp/3061.webp;..shared/img/svg/3061.svg;Grünfeld Defense;#04b084
D06;Queen's Gambit Declined: Baltic Defense, Queen Attack Deferred;1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Qb3;1. d4 d5 2. c4 Bf5 3. Nc3 e6;7;2715;..shared/img/png/2715.png;..shared/img/webp/2715.webp;..shared/img/svg/2715.svg;Queen's Gambit Declined;#535fc0
E40;Nimzo-Indian Defense: Normal Line;1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3;1. d4 Nf6 2. c4 e6 3. Nc3 Bb4;7;3248;..shared/img/png/3248.png;..shared/img/webp/3248.webp;..shared/img/svg/3248.svg;Nimzo-Indian Defense;#f6ee00
A17;P00;1. Nf3 Nf6 2. c4 e6 3. b3 d5 4. Bb2;1. Nf3 Nf6 2. c4 e6 3. b3 d5;7;3864;..shared/img/png/3864.png;..shared/img/webp/3864.webp;..shared/img/svg/3864.svg;P00;#d3b7c2
B27;P00;1. e4 c5 2. Nf3 g6 3. d4 Bg7 4. Nc3;1. e4 c5 2. Nf3 g6 3. d4 Bg7;7;4896;..shared/img/png/4896.png;..shared/img/webp/4896.webp;..shared/img/svg/4896.svg;P00;#48f8dc
A12;Réti Opening: Anglo-Slav Variation, Bogoljubov Variation;1. Nf3 Nf6 2. c4 c6 3. b3 d5 4. Bb2;1. Nf3 Nf6 2. c4 c6 3. b3 d5;7;290;..shared/img/png/290.png;..shared/img/webp/290.webp;..shared/img/svg/290.svg;Réti Opening;#11c7a4
C15;P00;1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Bd3;1. e4 e6 2. d4 d5 3. Nc3 Bb4;7;5403;..shared/img/png/5403.png;..shared/img/webp/5403.webp;..shared/img/svg/5403.svg;P00;#198ae5
A00;Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit;1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3;1. Nc3 d5 2. f4 d4 3. Ne4 e5;7;125;..shared/img/png/125.png;..shared/img/webp/125.webp;..shared/img/svg/125.svg;Van Geet Opening;#bcc317
A00;P00;1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2;1. Nc3 d5 2. f4 d4 3. Ne4 f5;7;3608;..shared/img/png/3608.png;..shared/img/webp/3608.webp;..shared/img/svg/3608.svg;P00;#bcc317
B01;P00;1. e4 d5 2. exd5 Nf6 3. d4 g6 4. c4;1. e4 d5 2. exd5 Nf6 3. d4 g6;7;4491;..shared/img/png/4491.png;..shared/img/webp/4491.webp;..shared/img/svg/4491.svg;P00;#20ac80
A00;Van Geet Opening: Gladbacher Gambit;1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3;1. Nc3 e5 2. b3 d5 3. e4 dxe4;7;112;..shared/img/png/112.png;..shared/img/webp/112.webp;..shared/img/svg/112.svg;Van Geet Opening;#bcc317
A00;Hungarian Opening: Winterberg Gambit;1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3;1. g3 d5 2. Bg2 e5 3. c4 dxc4;7;59;..shared/img/png/59.png;..shared/img/webp/59.webp;..shared/img/svg/59.svg;Hungarian Opening;#bcc317
D02;P00;1. d4 d5 2. Nf3 c6 3. Bg5 h6 4. Bh4;1. d4 d5 2. Nf3 c6 3. Bg5 h6;7;6698;..shared/img/png/6698.png;..shared/img/webp/6698.webp;..shared/img/svg/6698.svg;P00;#f40bba
A80;P00;1. d4 f5 2. Nf3 Nf6 3. g3 e6 4. Bg2;1. d4 f5 2. Nf3 Nf6 3. g3 e6;7;4404;..shared/img/png/4404.png;..shared/img/webp/4404.webp;..shared/img/svg/4404.svg;P00;#1ce037
B02;Alekhine Defense: Steiner Variation;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6;7;860;..shared/img/png/860.png;..shared/img/webp/860.webp;..shared/img/svg/860.svg;Alekhine Defense;#28d8df
C23;P00;1. e4 e5 2. Bc4 c6 3. d4 d5 4. exd5;1. e4 e5 2. Bc4 c6 3. d4 d5;7;5483;..shared/img/png/5483.png;..shared/img/webp/5483.webp;..shared/img/svg/5483.svg;P00;#0c538d
E12;Queen's Indian Defense: Miles Variation;1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. Bf4;1. d4 Nf6 2. c4 e6 3. Nf3 b6;7;3169;..shared/img/png/3169.png;..shared/img/webp/3169.webp;..shared/img/svg/3169.svg;Queen's Indian Defense;#4f397e
C41;Philidor Defense: Nimzowitsch, Locock Variation;1. e4 e5 2. Nf3 d6 3. d4 Nf6 4. Ng5;1. e4 e5 2. Nf3 d6 3. d4 Nf6;7;2034;..shared/img/png/2034.png;..shared/img/webp/2034.webp;..shared/img/svg/2034.svg;Philidor Defense;#ca6c8e
B22;P00;1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3;1. e4 c5 2. c3 Nf6 3. e5 Nd5;7;4877;..shared/img/png/4877.png;..shared/img/webp/4877.webp;..shared/img/svg/4877.svg;P00;#aea81b
B02;Alekhine Defense: Two Pawn Attack, Lasker Variation;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6;7;864;..shared/img/png/864.png;..shared/img/webp/864.webp;..shared/img/svg/864.svg;Alekhine Defense;#28d8df
D81;Grünfeld Defense: Russian Variation, Accelerated Variation;1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Qb3;1. d4 Nf6 2. c4 g6 3. Nc3 d5;7;3060;..shared/img/png/3060.png;..shared/img/webp/3060.webp;..shared/img/svg/3060.svg;Grünfeld Defense;#b6819a
D35;Queen's Gambit Declined: Harrwitz Attack;1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4;1. d4 d5 2. c4 e6 3. Nc3 Nf6;7;2902;..shared/img/png/2902.png;..shared/img/webp/2902.webp;..shared/img/svg/2902.svg;Queen's Gambit Declined;#d8b6c0
B40;Sicilian Defense: Smith-Morra Gambit Deferred;1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. c3;1. e4 c5 2. Nf3 e6 3. d4 cxd4;7;1266;..shared/img/png/1266.png;..shared/img/webp/1266.webp;..shared/img/svg/1266.svg;Sicilian Defense;#f088fb
C00;P00;1. e4 e6 2. Nc3 d5 3. d4 Nf6 4. Bg5;1. e4 e6 2. Nc3 d5 3. d4 Nf6;7;5346;..shared/img/png/5346.png;..shared/img/webp/5346.webp;..shared/img/svg/5346.svg;P00;#9166de
A40;P00;1. d4 Nc6 2. d5 Nb8 3. e4 Nf6 4. e5;1. d4 Nc6 2. d5 Nb8 3. e4 Nf6;7;4129;..shared/img/png/4129.png;..shared/img/webp/4129.webp;..shared/img/svg/4129.svg;P00;#b25097
D05;P00;1. d4 d5 2. Nf3 Nf6 3. e3 g6 4. Bd3;1. d4 d5 2. Nf3 Nf6 3. e3 g6;7;6703;..shared/img/png/6703.png;..shared/img/webp/6703.webp;..shared/img/svg/6703.svg;P00;#fd27a1
C07;P00;1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5;1. e4 e6 2. d4 d5 3. Nd2 c5;7;5286;..shared/img/png/5286.png;..shared/img/webp/5286.webp;..shared/img/svg/5286.svg;P00;#a1748f
C15;French Defense: Winawer Variation, Alekhine-Maróczy Gambit;1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2;1. e4 e6 2. d4 d5 3. Nc3 Bb4;7;1589;..shared/img/png/1589.png;..shared/img/webp/1589.webp;..shared/img/svg/1589.svg;French Defense;#198ae5
C07;French Defense: Tarrasch Variation, Open System, Euwe-Keres Line;1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3;1. e4 e6 2. d4 d5 3. Nd2 c5;7;1522;..shared/img/png/1522.png;..shared/img/webp/1522.webp;..shared/img/svg/1522.svg;French Defense;#a1748f
C41;Philidor Defense: Steinitz Variation;1. e4 e5 2. Nf3 d6 3. Bc4 Be7 4. c3;1. e4 e5 2. Nf3 d6 3. Bc4 Be7;7;2041;..shared/img/png/2041.png;..shared/img/webp/2041.webp;..shared/img/svg/2041.svg;Philidor Defense;#ca6c8e
A34;P00;1. Nf3 Nf6 2. c4 c5 3. Nc3 e6 4. g3;1. Nf3 Nf6 2. c4 c5 3. Nc3 e6;7;3960;..shared/img/png/3960.png;..shared/img/webp/3960.webp;..shared/img/svg/3960.svg;P00;#600de5
D50;Queen's Gambit Declined: Modern Variation;1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5;1. d4 d5 2. c4 e6 3. Nc3 Nf6;7;2974;..shared/img/png/2974.png;..shared/img/webp/2974.webp;..shared/img/svg/2974.svg;Queen's Gambit Declined;#2494ea
B50;Sicilian Defense: Modern Variations, Tartakower;1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. c3;1. e4 c5 2. Nf3 d6 3. d4 cxd4;7;1303;..shared/img/png/1303.png;..shared/img/webp/1303.webp;..shared/img/svg/1303.svg;Sicilian Defense;#f8e14f
